Date,Close/Last,Volume,Open,High,Low
2/13/2020,$66.08 ,9149461,$66.72 ,$66.95 ,$66.04 
2/12/2020,$67.00 ,11213680,$67.09 ,$67.50 ,$66.57 
2/11/2020,$66.99 ,7261691,$67.35 ,$67.55 ,$66.97 
2/10/2020,$66.91 ,13218470,$65.88 ,$67.12 ,$65.80 
2/7/2020,$66.25 ,13093710,$66.68 ,$67.01 ,$65.84 
2/6/2020,$67.10 ,16488540,$67.00 ,$67.80 ,$66.39 
2/5/2020,$65.59 ,14991620,$64.92 ,$65.85 ,$64.85 
2/4/2020,$64.29 ,11740190,$64.07 ,$64.94 ,$64.05 
2/3/2020,$63.58 ,15987100,$63.10 ,$64.24 ,$63.05 
1/31/2020,$62.95 ,12898020,$63.63 ,$63.69 ,$62.51 
1/30/2020,$63.81 ,10783740,$63.80 ,$64.31 ,$63.39 
1/29/2020,$64.14 ,10763850,$65.02 ,$65.09 ,$64.13 
1/28/2020,$64.81 ,12761940,$64.13 ,$65.37 ,$63.90 
1/27/2020,$63.70 ,20951130,$63.26 ,$64.63 ,$63.09 
